dataset_label,Name,Formula,adsorbate,surface_ref_name,surface_ref_formula,surface_ref_status,E,surface_ref_E,delta_E_to_surface_eV,delta_C,delta_H,delta_O,n_CO_adsorbates,E_ads_CO_eV,n_CH3O_adsorbates,E_ads_CH3OH_to_CH3O_eV,fmax,source_hdf,source_row
Ni-slabs,Ni-211_hk-clean-3x3x4-HCO-AA,CHNi36O,HCO,Ni-211_hk-clean-3x3x4,Ni36,ok,-95.05313716,-78.40456302,-16.648574140000008,1.0,1.0,1.0,,,,,0.009,/data/Chapter6/Ni-slabs.hdf,1799
Ni-slabs,Ni-211_hk-clean-3x3x4-CO-AA,CNi36O,CO,Ni-211_hk-clean-3x3x4,Ni36,ok,-92.08558822,-78.40456302,-13.681025200000008,1.0,0.0,1.0,1.0,,,,0.0066,/data/Chapter6/Ni-slabs.hdf,1800
Ni-slabs,Ni-211_hk-clean-3x3x4-HCOO-AA,CHNi36O2,HCOO,Ni-211_hk-clean-3x3x4,Ni36,ok,-101.53168213,-78.40456302,-23.127119109999995,1.0,1.0,2.0,,,,,0.0074,/data/Chapter6/Ni-slabs.hdf,1806
Ni-slabs,Ni-211_hk-Zn-3x3x4-1-HCO-AB,CHNi35OZn,HCO,Ni-211_hk-Zn-3x3x4-1,Ni35Zn,ok,-91.27243011,-74.83681424,-16.435615870000007,1.0,1.0,1.0,,,,,0.0062,/data/Chapter6/Ni-slabs.hdf,1811
Ni-slabs,Ni-211_hk-Zn-3x3x4-3-COOH-BB-1,CHNi33O2Zn3,COOH,Ni-211_hk-Zn-3x3x4-3,Ni33Zn3,ok,-89.06994732,-67.40435826,-21.665589060000002,1.0,1.0,2.0,,,,,0.008,/data/Chapter6/Ni-slabs.hdf,1813
Ni-slabs,Ni-211_hk-Zn-3x3x4-3-HCOO-BB-1,CHNi33O2Zn3,HCOO,Ni-211_hk-Zn-3x3x4-3,Ni33Zn3,ok,-90.28236756,-67.40435826,-22.878009300000002,1.0,1.0,2.0,,,,,0.0075,/data/Chapter6/Ni-slabs.hdf,1814
Ni-slabs,Ni-211_hk-Ga-4x3x4-2-HCOO-AB-1,CHGa2Ni46O2,HCOO,Ni-211_hk-Ga-4x3x4-2,Ga2Ni46,ok,-128.54754839,-105.6250253,-22.92252309,1.0,1.0,2.0,,,,,0.0067,/data/Chapter6/Ni-slabs.hdf,1817
Ni3Ga,Ni3Ga-111-clean-2x2x4-CO-1,CGa4Ni12O,CO,Ni3Ga-111-clean-2x2x4,Ga4Ni12,ok,-50.5303895,-36.56554159,-13.964847909999996,1.0,0.0,1.0,1.0,,,,0.006,/data/Chapter6/Ni3Ga.hdf,10
Ni3Ga,Ni3Ga-111-Ga-6x6x4-12-a-CO-1,CGa39Ni105O,CO,Ni3Ga-111-Ga-6x6x4-12-a,Ga39Ni105,ok,-342.44393596,-329.22659155,-13.217344409999953,1.0,0.0,1.0,1.0,,,,0.0082,/data/Chapter6/Ni3Ga.hdf,23
Ni5Ga3-slabs,Ni5Ga3-211-clean-4x3x4-1-CH3O-1,CH3Ga24Ni40O,CH3O,Ni5Ga3-211-clean-4x3x4-1,Ga24Ni40,ok,-169.57718734,-145.07954972,-24.497637620000006,1.0,3.0,1.0,,,1.0,,0.0082,/data/Chapter6/Ni5Ga3-slabs.hdf,1
