dataset_label,Name,Formula,E,surface_key,surface_ref_status,source_hdf,source_row
Ni-slabs,Ni-110-Ga-2x2x6-3,Ga3Ni21,-51.6755114,Ni-110-Ga-2x2x6-3,self,/data/Chapter6/Ni-slabs.hdf,1510
Ni-slabs,Ni-110-Ga-2x2x6-2-a,Ga2Ni22,-51.88799371,Ni-110-Ga-2x2x6-2-a,self,/data/Chapter6/Ni-slabs.hdf,1511
Ni-slabs,Ni-110-Ga-2x2x6-2-a-Ox2-1,Ga2Ni22O2,-62.03269211,Ni-110-Ga-2x2x6-2-a-Ox2-1,self,/data/Chapter6/Ni-slabs.hdf,1512
Ni-slabs,Ni-110-Ga-2x2x6-2-b,Ga2Ni22,-51.88237564,Ni-110-Ga-2x2x6-2-b,self,/data/Chapter6/Ni-slabs.hdf,1515
Ni-slabs,Ni-110-Ga-2x2x8-1,GaNi31,-71.57384076,Ni-110-Ga-2x2x8-1,self,/data/Chapter6/Ni-slabs.hdf,1516
Ni-slabs,Ni-110-Ga-2x2x8-8-bulk,Ga8Ni24,-73.30733473,Ni-110-Ga-2x2x8-8-bulk,self,/data/Chapter6/Ni-slabs.hdf,1517
Ni-slabs,Ni-110-Ga-3x3x4-6,Ga6Ni30,-71.04955361,Ni-110-Ga-3x3x4-6,self,/data/Chapter6/Ni-slabs.hdf,1518
Ni-slabs,Ni-110-Ga-3x3x4-1,GaNi35,-68.86869846,Ni-110-Ga-3x3x4-1,self,/data/Chapter6/Ni-slabs.hdf,1519
Ni-slabs,Ni-110-Ga-3x3x4-3,Ga3Ni33,-70.06785282,Ni-110-Ga-3x3x4-3,self,/data/Chapter6/Ni-slabs.hdf,1520
Ni-slabs,Ni-100-Zn2-2x2x4-1,Ni14Zn2,-26.19423959,Ni-100-Zn2-2x2x4-1,self,/data/Chapter6/Ni-slabs.hdf,1521
Ni-slabs,Ni-100-Zn2-2x2x4-4,Ni14Zn2,-25.34622249,Ni-100-Zn2-2x2x4-4,self,/data/Chapter6/Ni-slabs.hdf,1522
Ni-slabs,Ni-100-Zn2-2x2x4-3,Ni14Zn2,-25.89902758,Ni-100-Zn2-2x2x4-3,self,/data/Chapter6/Ni-slabs.hdf,1523
Ni-slabs,Ni-100-Zn2-2x2x4-2,Ni14Zn2,-26.57570239,Ni-100-Zn2-2x2x4-2,self,/data/Chapter6/Ni-slabs.hdf,1524
Ni-slabs,Ni-100-Al-2x2x4-2,Al2Ni14,-37.04739116,Ni-100-Al-2x2x4-2,self,/data/Chapter6/Ni-slabs.hdf,1525
Ni-slabs,Ni-100-Zn1-2x2x4-1,Ni15Zn,-30.06367215,Ni-100-Zn1-2x2x4-1,self,/data/Chapter6/Ni-slabs.hdf,1526
Ni-slabs,Ni-100-Zn1-2x2x4-2,Ni15Zn,-29.45878638,Ni-100-Zn1-2x2x4-2,self,/data/Chapter6/Ni-slabs.hdf,1527
Ni-slabs,Ni-100-clean-2x2x4,Ni16,-33.62266439,Ni-100-clean-2x2x4,self,/data/Chapter6/Ni-slabs.hdf,1528
Ni-slabs,Ni-100-clean-2x2x4-H2COH-AB-1,CH3Ni16O,-57.52796046,Ni-100-clean-2x2x4-H2COH-AB-1,self,/data/Chapter6/Ni-slabs.hdf,1529
Ni-slabs,Ni-100-clean-2x2x4-H2COO-AA-1,CH2Ni16O2,-59.93464882,Ni-100-clean-2x2x4-H2COO-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1533
Ni-slabs,Ni-100-clean-2x2x4-H2COO-AA-2,CH2Ni16O2,-59.93498777,Ni-100-clean-2x2x4-H2COO-AA-2,self,/data/Chapter6/Ni-slabs.hdf,1534
Ni-slabs,Ni-100-clean-2x2x4-CH-1,CHNi16,-45.43740836,Ni-100-clean-2x2x4-CH-1,self,/data/Chapter6/Ni-slabs.hdf,1537
Ni-slabs,Ni-100-clean-2x2x4-COH-AA-1,CHNi16O,-50.56341794,Ni-100-clean-2x2x4-COH-AA-1,self,/data/Chapter6/Ni-slabs.hdf,1539
Ni-slabs,Ni-100-clean-2x2x4-O-1,Ni16O,-39.45684835,Ni-100-clean-2x2x4-O-1,self,/data/Chapter6/Ni-slabs.hdf,1540
Ni-slabs,Ni-100-clean-2x2x4-H-1,HNi16,-37.4305502,Ni-100-clean-2x2x4-H-1,self,/data/Chapter6/Ni-slabs.hdf,1541
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-9,Ni16,-33.66157621,Ni-100-clean-2x2x4-convergence-kpoints-9,self,/data/Chapter6/Ni-slabs.hdf,1542
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-11,Ni16,-33.65206601,Ni-100-clean-2x2x4-convergence-kpoints-11,self,/data/Chapter6/Ni-slabs.hdf,1543
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-7,Ni16,-33.63555192,Ni-100-clean-2x2x4-convergence-kpoints-7,self,/data/Chapter6/Ni-slabs.hdf,1544
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-6,Ni16,-33.6226622,Ni-100-clean-2x2x4-convergence-kpoints-6,self,/data/Chapter6/Ni-slabs.hdf,1545
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-1,0,0.0,Ni-100-clean-2x2x4-convergence-kpoints-1,missing,/data/Chapter6/Ni-slabs.hdf,1546
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-10,Ni16,-33.65174864,Ni-100-clean-2x2x4-convergence-kpoints-10,self,/data/Chapter6/Ni-slabs.hdf,1547
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-8,Ni16,-33.65349205,Ni-100-clean-2x2x4-convergence-kpoints-8,self,/data/Chapter6/Ni-slabs.hdf,1548
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-4,Ni16,-33.69717851,Ni-100-clean-2x2x4-convergence-kpoints-4,self,/data/Chapter6/Ni-slabs.hdf,1549
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-3,Ni16,-33.70632808,Ni-100-clean-2x2x4-convergence-kpoints-3,self,/data/Chapter6/Ni-slabs.hdf,1550
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-12,Ni16,-33.65585545,Ni-100-clean-2x2x4-convergence-kpoints-12,self,/data/Chapter6/Ni-slabs.hdf,1551
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-2,0,0.0,Ni-100-clean-2x2x4-convergence-kpoints-2,missing,/data/Chapter6/Ni-slabs.hdf,1552
Ni-slabs,Ni-100-clean-2x2x4-convergence-kpoints-5,Ni16,-33.66643971,Ni-100-clean-2x2x4-convergence-kpoints-5,self,/data/Chapter6/Ni-slabs.hdf,1553
Ni-slabs,Ni-100-clean-2x2x4-CH3-1,CH3Ni16,-52.68178411,Ni-100-clean-2x2x4-CH3-1,self,/data/Chapter6/Ni-slabs.hdf,1554
Ni-slabs,Ni-100-clean-2x2x4-H2CO-AB-1,CH2Ni16O,-53.8486325,Ni-100-clean-2x2x4-H2CO-AB-1,self,/data/Chapter6/Ni-slabs.hdf,1555
Ni-slabs,Ni-100-clean-2x2x4-H2CO-AB-2,CH2Ni16O,-53.84866759,Ni-100-clean-2x2x4-H2CO-AB-2,self,/data/Chapter6/Ni-slabs.hdf,1556
